
...................................................
before gpu command
after gpu command
(1/8);|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|            7 |         4250 |        38.28 |       0.3293 |       85.94% |     0.040000 |
|            7 |         4300 |        38.76 |       0.3454 |       81.25% |     0.040000 |
|            7 |         4350 |        39.23 |       0.3587 |       75.00% |     0.040000 |
|            7 |         4400 |        39.70 |       0.4123 |       81.25% |     0.040000 |
|            7 |         4450 |        40.17 |       0.3049 |       87.50% |     0.040000 |
|            7 |         4500 |        40.64 |       0.3541 |       76.56% |     0.040000 |
|            7 |         4550 |        41.11 |       0.3324 |       89.06% |     0.040000 |
|            7 |         4600 |        41.58 |       0.3947 |       84.38% |     0.040000 |
|            7 |         4650 |        42.05 |       0.3185 |       89.06% |     0.040000 |
|            7 |         4700 |        42.52 |       0.3530 |       78.12% |     0.040000 |
|            8 |         4750 |        43.01 |       0.4469 |       78.12% |     0.040000 |
|            8 |         4800 |        43.50 |       0.3736 |       75.00% |     0.040000 |
|            8 |         4850 |        43.99 |       0.5496 |       71.88% |     0.040000 |
|            8 |         4900 |        44.48 |       0.4871 |       78.12% |     0.040000 |
|            8 |         4950 |        44.96 |       0.3310 |       82.81% |     0.040000 |
|            8 |         5000 |        45.45 |       0.3635 |       79.69% |     0.040000 |
|            8 |         5050 |        45.93 |       0.4180 |       68.75% |     0.040000 |
|            8 |         5100 |        46.42 |       0.4681 |       64.06% |     0.040000 |
|            8 |         5150 |        46.90 |       0.3281 |       85.94% |     0.040000 |
|            8 |         5200 |        47.38 |       0.3560 |       78.12% |     0.040000 |
|            8 |         5250 |        47.87 |       0.3743 |       75.00% |     0.040000 |
|            8 |         5300 |        48.36 |       0.2909 |       92.19% |     0.040000 |
|            8 |         5350 |        48.85 |       0.4230 |       76.56% |     0.040000 |
|            8 |         5400 |        49.34 |       0.3594 |       73.44% |     0.040000 |
|            9 |         5450 |        49.85 |       0.3839 |       85.94% |     0.016000 |
|            9 |         5500 |        50.33 |       0.3644 |       84.38% |     0.016000 |
|            9 |         5550 |        50.81 |       0.3148 |       82.81% |     0.016000 |
|            9 |         5600 |        51.31 |       0.3374 |       84.38% |     0.016000 |
|            9 |         5650 |        51.79 |       0.3605 |       79.69% |     0.016000 |
|            9 |         5700 |        52.27 |       0.3267 |       76.56% |     0.016000 |
|            9 |         5750 |        52.76 |       0.4307 |       81.25% |     0.016000 |
|            9 |         5800 |        53.24 |       0.2949 |       84.38% |     0.016000 |
|            9 |         5850 |        53.86 |       0.3380 |       75.00% |     0.016000 |
|            9 |         5900 |        54.35 |       0.3171 |       89.06% |     0.016000 |
|            9 |         5950 |        54.78 |       0.3995 |       82.81% |     0.016000 |
|            9 |         6000 |        55.21 |       0.3092 |       87.50% |     0.016000 |
|            9 |         6050 |        55.65 |       0.3148 |       78.12% |     0.016000 |
|           10 |         6100 |        56.10 |       0.4315 |       81.25% |     0.016000 |
|           10 |         6150 |        56.54 |       0.3485 |       81.25% |     0.016000 |
|           10 |         6200 |        56.98 |       0.5707 |       68.75% |     0.016000 |
|           10 |         6250 |        57.44 |       0.4274 |       73.44% |     0.016000 |
|           10 |         6300 |        57.89 |       0.2891 |       90.62% |     0.016000 |
|           10 |         6350 |        58.33 |       0.3411 |       82.81% |     0.016000 |
|           10 |         6400 |        58.77 |       0.4037 |       71.88% |     0.016000 |
